Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Assay Parameters,Assay Variant Accession,Assay Variant Mutation,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID,Properties,Action Type,Standard Text Value,Value,,,,,,,,,,,,,,,,,,,
CHEMBL219557,,None,552.46,2,6.18,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL1242286,,None,392.26,0,3.4,PP502,COCOc1cc(-c2nn(C(C)C)c3ncnc(N)c23)ccc1Br,IC50,'=',319,nM,6.5,,,UO_0000065,16.56,0.37,3.1,7.38,0,CHEMBL1243972,Inhibition of recombinant c-Abl by radioactive phosphotransfer assay in presence of 10 uM ATP,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL1862,Tyrosine-protein kinase ABL1,Homo sapiens,SINGLE PROTEIN,CHEMBL1240340,1,Scientific Literature,Nat Chem Biol,2008,None,,,,0.319,,,,,,,,,,,,,,,,,,,
CHEMBL1241482,,None,402.39,0,3.62,PP401,Nc1ncnc2c1c(-c1ccc(F)c(O)c1)nn2Cc1ocnc1-c1ccccc1,IC50,'=',565,nM,6.25,,,UO_0000065,15.53,0.28,2.63,5.39,0,CHEMBL1243972,Inhibition of recombinant c-Abl by radioactive phosphotransfer assay in presence of 10 uM ATP,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL1862,Tyrosine-protein kinase ABL1,Homo sapiens,SINGLE PROTEIN,CHEMBL1240340,1,Scientific Literature,Nat Chem Biol,2008,None,,,,0.565,,,,,,,,,,,,,,,,,,,
CHEMBL1241580,,None,315.76,0,3.16,PP463,Nc1ncnc2c1c(-c1ccc(Cl)c(O)c1)nn2C1CCC1,IC50,'=',32,nM,7.5,,,UO_0000065,23.74,0.47,4.33,8.34,0,CHEMBL1243972,Inhibition of recombinant c-Abl by radioactive phosphotransfer assay in presence of 10 uM ATP,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL1862,Tyrosine-protein kinase ABL1,Homo sapiens,SINGLE PROTEIN,CHEMBL1240340,1,Scientific Literature,Nat Chem Biol,2008,None,,,,0.032,,,,,,,,,,,,,,,,,,,
CHEMBL1242468,,None,302.31,0,1.44,PP454,C[C@@H](CN)n1nc(-c2ccc(F)c(O)c2)c2c(N)ncnc21,IC50,'=',726,nM,6.14,,,UO_0000065,20.31,0.38,4.7,5.3,0,CHEMBL1243972,Inhibition of recombinant c-Abl by radioactive phosphotransfer assay in presence of 10 uM ATP,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL1862,Tyrosine-protein kinase ABL1,Homo sapiens,SINGLE PROTEIN,CHEMBL1240340,1,Scientific Literature,Nat Chem Biol,2008,None,,,,0.726,,,,,,,,,,,,,,,,,,,
CHEMBL5747601,,None,490.61,0,3,BDBM387854,COc1cc(-c2nn(CCN3CCC(N(C)C)CC3)c3ncnc(N)c23)ccc1Cc1ncc(C)o1,IC50,'>',1000,nM,,,774730,UO_0000065,,,,,0,CHEMBL5733736,Kinase Screening Assay: Compound IC50 values were determined from 10-point,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL1241439,,None,271.28,0,2.06,PP35,CC(C)n1nc(-c2cc(C=O)co2)c2c(N)ncnc21,IC50,'=',4500,nM,5.35,,,UO_0000065,19.71,0.37,3.29,5.36,0,CHEMBL1243972,Inhibition of recombinant c-Abl by radioactive phosphotransfer assay in presence of 10 uM ATP,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL1862,Tyrosine-protein kinase ABL1,Homo sapiens,SINGLE PROTEIN,CHEMBL1240340,1,Scientific Literature,Nat Chem Biol,2008,None,,,,4.5,,,,,,,,,,,,,,,,,,,
CHEMBL1270230,,None,279.3,0,1.82,18,NC(=O)c1cc(-c2ccnc(N)n2)[nH]c1-c1ccccc1,IC50,'>',10000,nM,,,,UO_0000065,,,,,0,CHEMBL1274131,Inhibition of ABL,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL1862,Tyrosine-protein kinase ABL1,Homo sapiens,SINGLE PROTEIN,CHEMBL1268909,1,Scientific Literature,J Med Chem,2010,None,,,,10,,,,,,,,,,,,,,,,,,,
CHEMBL185901,,None,467.58,1,6.08,21,CCN(CC)c1ccc(NC(=O)Nc2ccc(C)c(Nc3nccc(-c4cccnc4)n3)c2)cc1,IC50,'>',3400,nM,,,,UO_0000065,,,,,0,CHEMBL831639,Inhibitory concentration required to inhibit Abl tyrosine kinase,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL1862,Tyrosine-protein kinase ABL1,Homo sapiens,SINGLE PROTEIN,CHEMBL1138649,1,Scientific Literature,Bioorg Med Chem Lett,2004,None,,,,3400,,,,,,,,,,,,,,,,,,,
CHEMBL1241143,,None,225.25,0,1.91,PP204,Cc1cccc(-c2n[nH]c3ncnc(N)c23)c1,IC50,,,,,,Not Determined,,,,,,0,CHEMBL1243972,Inhibition of recombinant c-Abl by radioactive phosphotransfer assay in presence of 10 uM ATP,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL1862,Tyrosine-protein kinase ABL1,Homo sapiens,SINGLE PROTEIN,CHEMBL1240340,1,Scientific Literature,Nat Chem Biol,2008,None,,,,,,,,,,,,,,,,,,,,,,,
