Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Assay Parameters,Assay Variant Accession,Assay Variant Mutation,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID,Properties,Action Type,Standard Text Value,Value
CHEMBL376787,,None,292.29,0,3.57,12,Nc1ccc2oc(C(=O)c3cc4cc(N)ccc4o3)cc2c1,IC50,'=',600,nM,6.22,,,UO_0000065,21.29,0.39,2.65,6.52,0,CHEMBL903889,Inhibition of endogenous FLT3 autophosphorylation in EOL1 cells,B,BAO_0000219,cell-based format,Homo sapiens,None,None,EOL1,None,,,,CHEMBL1974,Receptor-type tyrosine-protein kinase FLT3,Homo sapiens,SINGLE PROTEIN,CHEMBL1142902,1,Scientific Literature,Bioorg Med Chem,2007,CHEMBL3308381,,,,0.6
CHEMBL225825,,None,322.32,0,4.43,5,COc1ccc2cc(C(=O)c3cc4ccc(OC)cc4o3)oc2c1,IC50,'>',30000,nM,,,,UO_0000065,,,,,0,CHEMBL903889,Inhibition of endogenous FLT3 autophosphorylation in EOL1 cells,B,BAO_0000219,cell-based format,Homo sapiens,None,None,EOL1,None,,,,CHEMBL1974,Receptor-type tyrosine-protein kinase FLT3,Homo sapiens,SINGLE PROTEIN,CHEMBL1142902,1,Scientific Literature,Bioorg Med Chem,2007,CHEMBL3308381,,,,30
CHEMBL225772,,None,322.32,0,4.43,4,COc1ccc2oc(C(=O)c3cc4cc(OC)ccc4o3)cc2c1,IC50,'>',30000,nM,,,,UO_0000065,,,,,0,CHEMBL903889,Inhibition of endogenous FLT3 autophosphorylation in EOL1 cells,B,BAO_0000219,cell-based format,Homo sapiens,None,None,EOL1,None,,,,CHEMBL1974,Receptor-type tyrosine-protein kinase FLT3,Homo sapiens,SINGLE PROTEIN,CHEMBL1142902,1,Scientific Literature,Bioorg Med Chem,2007,CHEMBL3308381,,,,30
CHEMBL1257922,,None,378.45,0,3.53,1k,CN(C)S(=O)(=O)c1ccc2c(c1)/C(=C/c1ccc3cccccc1-3)C(=O)N2,IC50,'>',1000,nM,,,,UO_0000065,,,,,0,CHEMBL1261358,Inhibition of FLT3 by time resolved fluorescence method,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL1974,Receptor-type tyrosine-protein kinase FLT3,Homo sapiens,SINGLE PROTEIN,CHEMBL1255211,1,Scientific Literature,Bioorg Med Chem Lett,2010,None,,,,1000
CHEMBL1258603,,None,446.52,0,4.57,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL425749,,None,393.45,1,5.03,88,Cc1cccc(NC(=O)Nc2ccc(-c3csc4ncnc(N)c34)c(F)c2)c1,IC50,'=',10,nM,8,,,UO_0000065,20.33,0.39,2.97,8.61,0,CHEMBL881789,Inhibitory concentration against FLT3 with 4 uM Biotin-Ahx-AEEEYFFLFA-amide at ambient temperature for 1 hr,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL1974,Receptor-type tyrosine-protein kinase FLT3,Homo sapiens,SINGLE PROTEIN,CHEMBL1141091,1,Scientific Literature,J Med Chem,2005,None,,,,10
CHEMBL1270230,,None,279.3,0,1.82,18,NC(=O)c1cc(-c2ccnc(N)n2)[nH]c1-c1ccccc1,IC50,'>',10000,nM,,,,UO_0000065,,,,,0,CHEMBL1275104,Inhibition of FLT3,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL1974,Receptor-type tyrosine-protein kinase FLT3,Homo sapiens,SINGLE PROTEIN,CHEMBL1268909,1,Scientific Literature,J Med Chem,2010,None,,,,10
CHEMBL6046786,,None,389.46,0,3.03,BDBM375956,C[C@@H](Oc1cc(-c2ccc3c(cnn3C)c2)cc2nn(C)cc12)[C@H]1CNC(=O)C1,IC50,'=',3690,nM,5.43,,1010492,UO_0000065,13.95,0.26,2.4,7.34,1,CHEMBL5736561,Aurora B Kinase Test: Recombinant human Aurora B (amino acids 1-344,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL209515,,None,304.35,0,4.2,74,COc1ccc2[nH]c(C(=O)c3cc4c(C)cccc4[nH]3)cc2c1,IC50,'=',2600,nM,5.58,,,UO_0000065,18.35,0.33,1.39,9.65,0,CHEMBL854264,Inhibition of endogenous FLT3 in EOL1 cells,B,BAO_0000219,cell-based format,Homo sapiens,None,None,EOL1,None,,,,CHEMBL1974,Receptor-type tyrosine-protein kinase FLT3,Homo sapiens,SINGLE PROTEIN,CHEMBL1147798,1,Scientific Literature,J Med Chem,2006,CHEMBL3308381,,,,2.6
CHEMBL206894,,None,290.32,0,3.89,72,COc1cccc2[nH]c(C(=O)c3cc4ccccc4[nH]3)cc12,IC50,'=',4400,nM,5.36,,,UO_0000065,18.45,0.33,1.47,9.25,0,CHEMBL854264,Inhibition of endogenous FLT3 in EOL1 cells,B,BAO_0000219,cell-based format,Homo sapiens,None,None,EOL1,None,,,,CHEMBL1974,Receptor-type tyrosine-protein kinase FLT3,Homo sapiens,SINGLE PROTEIN,CHEMBL1147798,1,Scientific Literature,J Med Chem,2006,CHEMBL3308381,,,,4.4
